dayOfWeek,isWeekend,totalMeetingCount,hasImportantDeadline,backToBackMeetings,freeTimeBlocks,meetingDensityScore,interruptionRiskScore,dayCategory,categoryName
2,0,4,1,1,4,44,60,4,Intense
2,0,6,0,0,3,67,85,4,Intense
5,0,6,1,0,3,67,75,4,Intense
4,0,5,0,1,3,56,70,4,Intense
4,0,7,0,1,2,78,95,4,Intense
6,0,1,0,0,5,11,15,1,Calm
5,0,3,0,0,4,33,45,2,Balanced
5,0,5,0,1,3,56,70,4,Intense
1,1,0,0,0,9,0,0,0,Rest
7,1,2,0,0,5,22,20,1,Calm
3,0,5,0,0,3,56,65,3,Busy
3,0,5,0,0,3,56,55,3,Busy
3,0,7,0,1,2,78,100,4,Intense
4,0,6,0,1,3,67,90,4,Intense
6,0,1,0,0,5,11,15,1,Calm
5,0,5,0,0,3,56,60,3,Busy
6,0,2,1,0,5,22,25,5,DeepFocus
3,0,3,0,0,4,33,40,2,Balanced
2,0,3,0,0,4,33,30,2,Balanced
4,0,3,0,0,4,33,45,2,Balanced
5,0,6,0,1,3,67,85,4,Intense
5,0,6,0,1,3,67,75,4,Intense
2,0,6,0,1,3,67,75,4,Intense
6,0,4,1,1,4,44,60,6,BurnoutRisk
4,0,5,0,0,3,56,55,3,Busy
5,0,6,0,0,3,67,70,4,Intense
3,0,4,0,0,4,44,45,3,Busy
6,0,2,0,0,5,22,30,1,Calm
4,0,4,0,0,4,44,55,3,Busy
2,0,6,0,0,3,67,65,4,Intense
2,0,2,0,0,5,22,25,1,Calm
3,0,4,0,0,4,44,50,3,Busy
3,0,3,0,0,4,33,40,2,Balanced
3,0,6,0,1,3,67,65,4,Intense
3,0,5,1,0,3,56,65,6,BurnoutRisk
3,0,5,0,0,3,56,55,3,Busy
5,0,7,0,0,2,78,90,4,Intense
4,0,4,0,0,4,44,60,3,Busy
5,0,4,1,1,4,44,55,4,Intense
3,0,7,0,1,2,78,95,4,Intense
6,0,1,0,0,5,11,15,1,Calm
7,1,0,0,0,9,0,0,0,Rest
3,0,7,0,0,2,78,80,4,Intense
6,0,1,0,0,5,11,15,1,Calm
5,0,0,0,0,9,0,0,0,Rest
2,0,3,0,0,4,33,35,2,Balanced
4,0,7,1,0,2,78,90,4,Intense
6,0,4,0,0,4,44,50,3,Busy
4,0,7,0,0,2,78,90,4,Intense
5,0,4,1,0,4,44,60,3,Busy
6,0,2,0,0,5,22,20,1,Calm
4,0,3,1,0,4,33,35,5,DeepFocus
5,0,6,1,0,3,67,65,6,BurnoutRisk
3,0,3,1,0,4,33,30,5,DeepFocus
2,0,3,0,0,4,33,45,2,Balanced
6,0,3,0,0,4,33,35,2,Balanced
5,0,3,1,0,4,33,35,5,DeepFocus
5,0,4,1,0,4,44,60,3,Busy
1,1,0,0,0,9,0,0,0,Rest
2,0,6,0,1,3,67,80,4,Intense
3,0,6,0,0,3,67,80,4,Intense
5,0,3,0,0,4,33,45,2,Balanced
5,0,3,0,0,4,33,45,2,Balanced
5,0,3,0,0,4,33,40,2,Balanced
6,0,1,0,0,5,11,15,1,Calm
5,0,6,0,0,3,67,75,4,Intense
2,0,4,0,1,4,44,50,4,Intense
6,0,3,0,0,4,33,45,2,Balanced
2,0,6,0,1,3,67,65,4,Intense
5,0,6,0,0,3,67,90,4,Intense
3,0,5,0,0,3,56,65,3,Busy
2,0,2,0,0,5,22,20,1,Calm
2,0,6,0,0,3,67,90,4,Intense
3,0,4,0,0,4,44,50,3,Busy
5,0,4,0,1,4,44,40,4,Intense
5,0,6,1,1,3,67,75,6,BurnoutRisk
6,0,3,0,0,4,33,40,2,Balanced
3,0,6,0,1,3,67,90,4,Intense
2,0,2,0,0,5,22,30,1,Calm
5,0,7,0,0,2,78,90,4,Intense
6,0,4,1,0,4,44,55,3,Busy
5,0,4,0,0,4,44,55,3,Busy
4,0,3,0,0,4,33,35,2,Balanced
5,0,3,0,0,4,33,45,2,Balanced
5,0,3,0,0,4,33,35,2,Balanced
2,0,4,0,0,4,44,45,3,Busy
3,0,0,0,0,9,0,0,0,Rest
4,0,3,0,0,4,33,40,2,Balanced
5,0,0,0,0,9,0,0,0,Rest
2,0,0,0,0,9,0,0,0,Rest
5,0,3,0,0,4,33,45,2,Balanced
7,1,0,0,0,9,0,0,0,Rest
4,0,0,0,0,9,0,0,0,Rest
5,0,3,0,0,4,33,35,2,Balanced
2,0,6,0,1,3,67,75,4,Intense
2,0,5,0,1,3,56,75,4,Intense
2,0,4,0,0,4,44,50,3,Busy
6,0,1,0,0,5,11,15,1,Calm
5,0,5,0,1,3,56,60,4,Intense
2,0,3,1,0,4,33,45,5,DeepFocus
4,0,4,0,1,4,44,45,4,Intense
6,0,3,0,0,4,33,35,2,Balanced
4,0,7,0,1,2,78,95,4,Intense
6,0,2,1,0,5,22,30,5,DeepFocus
3,0,4,0,1,4,44,60,4,Intense
3,0,5,0,1,3,56,75,4,Intense
6,0,4,0,0,4,44,40,3,Busy
6,0,2,0,0,5,22,25,1,Calm
4,0,3,0,0,4,33,35,2,Balanced
5,0,7,1,1,2,78,100,6,BurnoutRisk
2,0,3,0,0,4,33,40,2,Balanced
7,1,0,0,0,6,0,0,0,Rest
3,0,6,0,1,3,67,90,4,Intense
5,0,7,0,0,2,78,80,4,Intense
3,0,6,0,1,3,67,75,4,Intense
3,0,7,0,1,2,78,90,4,Intense
3,0,5,0,0,3,56,70,3,Busy
3,0,5,0,1,3,56,65,4,Intense
2,0,2,0,0,5,22,25,1,Calm
4,0,4,0,0,4,44,55,3,Busy
5,0,4,0,0,4,44,40,3,Busy
4,0,6,0,0,3,67,90,4,Intense
4,0,5,0,0,3,56,75,3,Busy
5,0,7,1,0,2,78,100,4,Intense
6,0,3,0,0,4,33,35,2,Balanced
3,0,3,1,0,4,33,40,5,DeepFocus
6,0,2,0,0,5,22,20,1,Calm
7,1,0,0,0,9,0,0,0,Rest
4,0,5,0,0,3,56,55,3,Busy
2,0,3,0,0,4,33,45,2,Balanced
3,0,6,0,0,3,67,90,4,Intense
3,0,7,0,1,2,78,95,4,Intense
5,0,4,1,1,4,44,60,4,Intense
1,1,0,0,0,9,0,0,0,Rest
6,0,1,0,0,5,11,15,1,Calm
4,0,7,1,0,2,78,95,6,BurnoutRisk
2,0,2,0,0,5,22,30,1,Calm
2,0,6,1,1,3,67,90,4,Intense
7,1,2,0,0,5,22,30,1,Calm
2,0,3,1,0,4,33,40,5,DeepFocus
3,0,7,0,0,2,78,100,4,Intense
3,0,5,0,0,3,56,75,3,Busy
5,0,4,0,0,4,44,45,3,Busy
4,0,4,0,1,4,44,60,4,Intense
6,0,2,0,0,5,22,25,1,Calm
4,0,4,0,1,4,44,55,4,Intense
3,0,5,0,1,3,56,60,4,Intense
4,0,4,0,0,4,44,40,3,Busy
5,0,5,0,1,3,56,75,4,Intense
2,0,5,1,0,3,56,70,6,BurnoutRisk
2,0,3,0,0,4,33,40,2,Balanced
2,0,4,0,1,4,44,45,4,Intense
4,0,4,0,1,4,44,50,4,Intense
3,0,4,0,1,4,44,60,4,Intense
6,0,1,1,0,5,11,10,5,DeepFocus
6,0,2,0,0,5,22,30,1,Calm
2,0,4,0,1,4,44,40,4,Intense
5,0,6,0,0,3,67,90,4,Intense
2,0,2,0,0,5,22,30,1,Calm
6,0,1,0,0,5,11,10,1,Calm
4,0,7,0,0,2,78,80,4,Intense
5,0,5,1,0,3,56,65,6,BurnoutRisk
7,1,1,1,0,5,11,15,5,DeepFocus
6,0,1,0,0,5,11,15,1,Calm
2,0,3,1,0,4,33,35,5,DeepFocus
3,0,0,0,0,9,0,0,0,Rest
2,0,3,0,0,4,33,35,2,Balanced
7,1,2,0,0,5,22,20,1,Calm
2,0,3,0,0,4,33,40,2,Balanced
5,0,4,0,1,4,44,50,4,Intense
5,0,4,1,1,4,44,55,4,Intense
4,0,5,0,1,3,56,75,4,Intense
2,0,6,0,1,3,67,90,4,Intense
6,0,2,1,0,5,22,25,5,DeepFocus
6,0,3,1,0,4,33,35,5,DeepFocus
5,0,7,0,0,2,78,100,4,Intense
5,0,3,0,0,4,33,35,2,Balanced
3,0,5,1,0,3,56,75,6,BurnoutRisk
6,0,4,0,1,4,44,45,4,Intense
3,0,6,0,0,3,67,75,4,Intense
5,0,6,0,0,3,67,75,4,Intense
4,0,4,0,0,4,44,40,3,Busy
6,0,3,1,0,4,33,30,5,DeepFocus
5,0,6,0,1,3,67,70,4,Intense
2,0,3,0,0,4,33,45,2,Balanced
2,0,0,0,0,9,0,0,0,Rest
5,0,7,0,0,2,78,95,4,Intense
3,0,4,0,0,4,44,45,3,Busy
4,0,4,0,0,4,44,60,3,Busy
2,0,4,0,1,4,44,50,4,Intense
4,0,0,0,0,6,0,0,0,Rest
5,0,6,1,1,3,67,80,6,BurnoutRisk
7,1,0,0,0,9,0,0,0,Rest
4,0,6,0,1,3,67,90,4,Intense
6,0,2,0,0,5,22,30,1,Calm
5,0,3,0,0,4,33,45,2,Balanced
4,0,5,0,1,3,56,65,4,Intense
7,1,0,0,0,9,0,0,0,Rest
3,0,5,0,1,3,56,60,4,Intense
4,0,3,1,0,4,33,40,5,DeepFocus
3,0,3,0,0,4,33,40,2,Balanced
4,0,3,0,0,4,33,35,2,Balanced
5,0,7,0,1,2,78,80,4,Intense
6,0,1,0,0,5,11,10,1,Calm
4,0,7,1,0,2,78,95,6,BurnoutRisk
3,0,5,0,0,3,56,65,3,Busy
2,0,5,0,1,3,56,70,4,Intense
4,0,3,0,0,4,33,30,2,Balanced
4,0,3,0,0,4,33,35,2,Balanced
6,0,4,0,0,4,44,45,3,Busy
4,0,4,0,0,4,44,45,3,Busy
7,1,2,0,0,5,22,25,1,Calm
5,0,6,0,0,3,67,75,4,Intense
4,0,4,0,0,4,44,55,3,Busy
6,0,4,1,0,4,44,60,3,Busy
3,0,4,1,0,4,44,55,3,Busy
7,1,0,0,0,6,0,0,0,Rest
4,0,5,0,0,3,56,75,3,Busy
4,0,3,0,0,4,33,40,2,Balanced
6,0,2,1,0,5,22,25,5,DeepFocus
4,0,5,0,0,3,56,55,3,Busy
6,0,4,0,0,4,44,55,3,Busy
2,0,5,0,0,3,56,55,3,Busy
5,0,6,1,1,3,67,85,6,BurnoutRisk
2,0,3,1,0,4,33,40,5,DeepFocus
5,0,6,0,1,3,67,65,4,Intense
2,0,2,0,0,5,22,30,1,Calm
5,0,4,1,0,4,44,45,3,Busy
2,0,5,0,0,3,56,55,3,Busy
2,0,3,0,0,4,33,35,2,Balanced
2,0,6,1,1,3,67,85,6,BurnoutRisk
5,0,0,0,0,9,0,0,0,Rest
5,0,6,0,0,3,67,80,4,Intense
4,0,7,1,1,2,78,90,6,BurnoutRisk
3,0,6,0,0,3,67,85,4,Intense
3,0,7,0,1,2,78,100,4,Intense
3,0,6,0,1,3,67,90,4,Intense
4,0,4,0,1,4,44,55,4,Intense
5,0,1,1,0,5,11,10,5,DeepFocus
1,1,0,0,0,9,0,0,0,Rest
6,0,1,0,0,5,11,15,1,Calm
3,0,6,0,0,3,67,90,4,Intense
4,0,3,0,0,4,33,30,2,Balanced
3,0,5,0,0,3,56,65,3,Busy
5,0,3,0,0,4,33,40,2,Balanced
2,0,3,0,0,4,33,45,2,Balanced
3,0,7,0,1,2,78,95,4,Intense
5,0,7,0,1,2,78,90,4,Intense
2,0,0,0,0,9,0,0,0,Rest
7,1,0,0,0,9,0,0,0,Rest
5,0,6,0,0,3,67,80,4,Intense
3,0,5,0,0,3,56,60,3,Busy
4,0,6,0,1,3,67,90,4,Intense
4,0,4,1,1,4,44,60,4,Intense
2,0,2,0,0,5,22,30,1,Calm
3,0,5,0,0,3,56,75,3,Busy
5,0,5,0,1,3,56,70,4,Intense
5,0,4,0,1,4,44,50,4,Intense
2,0,6,0,0,3,67,90,4,Intense
2,0,5,0,0,3,56,60,3,Busy
3,0,3,0,0,4,33,45,2,Balanced
6,0,1,0,0,5,11,15,1,Calm
4,0,3,0,0,4,33,35,2,Balanced
4,0,7,0,0,2,78,85,4,Intense
2,0,3,0,0,4,33,45,2,Balanced
5,0,3,0,0,4,33,40,2,Balanced
6,0,3,0,0,4,33,35,2,Balanced
2,0,2,0,0,5,22,25,1,Calm
5,0,6,0,1,3,67,90,4,Intense
6,0,2,1,0,5,22,30,5,DeepFocus
6,0,2,0,0,5,22,25,1,Calm
2,0,6,0,0,3,67,85,4,Intense
5,0,4,1,0,4,44,60,3,Busy
6,0,3,0,0,4,33,40,2,Balanced
3,0,6,0,0,3,67,90,4,Intense
2,0,2,0,0,5,22,25,1,Calm
4,0,6,0,1,3,67,70,4,Intense
3,0,5,0,1,3,56,60,4,Intense
3,0,6,0,0,3,67,65,4,Intense
3,0,6,0,0,3,67,75,4,Intense
3,0,5,0,0,3,56,75,3,Busy
2,0,2,0,0,5,22,25,1,Calm
3,0,6,1,1,3,67,85,6,BurnoutRisk
6,0,2,0,0,5,22,20,1,Calm
3,0,4,0,0,4,44,60,3,Busy
5,0,0,0,0,6,0,0,0,Rest
6,0,3,1,0,4,33,35,5,DeepFocus
2,0,6,0,1,3,67,90,4,Intense
6,0,2,0,0,5,22,30,1,Calm
3,0,6,0,0,3,67,80,4,Intense
6,0,1,0,0,5,11,15,1,Calm
5,0,6,0,1,3,67,80,4,Intense
3,0,7,0,0,2,78,100,4,Intense
5,0,4,0,1,4,44,55,4,Intense
5,0,1,0,0,5,11,10,1,Calm
6,0,3,0,0,4,33,45,2,Balanced
3,0,3,1,0,4,33,30,5,DeepFocus
5,0,4,1,1,4,44,45,4,Intense
6,0,1,0,0,5,11,10,1,Calm
6,0,2,0,0,5,22,25,1,Calm
3,0,4,0,1,4,44,55,4,Intense
2,0,2,0,0,5,22,20,1,Calm
4,0,3,0,0,4,33,35,2,Balanced
5,0,3,0,0,4,33,45,2,Balanced
6,0,2,0,0,5,22,30,1,Calm
2,0,2,0,0,5,22,30,1,Calm
2,0,5,1,1,3,56,55,4,Intense
2,0,4,0,0,4,44,60,3,Busy
4,0,4,1,0,4,44,50,3,Busy
5,0,7,0,0,2,78,95,4,Intense
2,0,6,0,0,3,67,90,4,Intense
5,0,3,0,0,4,33,40,2,Balanced
4,0,5,0,0,3,56,75,3,Busy
6,0,3,0,0,4,33,35,2,Balanced
6,0,1,0,0,5,11,10,1,Calm
6,0,1,0,0,5,11,15,1,Calm
5,0,4,0,0,4,44,60,3,Busy
5,0,7,1,1,2,78,70,6,BurnoutRisk
5,0,4,0,1,4,44,55,4,Intense
2,0,4,1,0,4,44,55,3,Busy
2,0,3,0,0,4,33,30,2,Balanced
4,0,7,0,0,2,78,95,4,Intense
4,0,7,0,0,2,78,90,4,Intense
3,0,5,0,1,3,56,70,4,Intense
4,0,6,1,1,3,67,85,6,BurnoutRisk
4,0,5,0,0,3,56,50,3,Busy
3,0,4,0,1,4,44,60,4,Intense
6,0,2,0,0,5,22,20,1,Calm
2,0,4,0,0,4,44,50,3,Busy
7,1,0,0,0,9,0,0,0,Rest
3,0,3,0,0,4,33,30,2,Balanced
4,0,6,0,0,3,67,80,4,Intense
2,0,2,1,0,5,22,30,5,DeepFocus
4,0,7,0,1,2,78,80,4,Intense
5,0,6,1,0,3,67,70,6,BurnoutRisk
5,0,0,0,0,9,0,0,0,Rest
2,0,2,1,0,5,22,20,5,DeepFocus
5,0,5,0,0,3,56,70,3,Busy
2,0,2,0,0,5,22,30,1,Calm
2,0,0,0,0,9,0,0,0,Rest
3,0,3,0,0,4,33,35,2,Balanced
3,0,7,0,1,2,78,100,4,Intense
4,0,3,1,0,4,33,40,5,DeepFocus
3,0,4,1,1,4,44,60,4,Intense
3,0,4,0,0,4,44,60,3,Busy
4,0,6,0,1,3,67,85,4,Intense
4,0,0,0,0,9,0,0,0,Rest
2,0,2,0,0,5,22,30,1,Calm
6,0,1,0,0,5,11,15,1,Calm
3,0,6,0,0,3,67,70,4,Intense
5,0,6,0,0,3,67,75,4,Intense
2,0,2,0,0,5,22,25,1,Calm
7,1,0,1,0,6,0,0,0,Rest
2,0,3,0,0,4,33,35,2,Balanced
6,0,4,0,1,4,44,50,4,Intense
6,0,3,0,0,4,33,35,2,Balanced
3,0,6,0,0,3,67,85,4,Intense
2,0,2,1,0,5,22,30,5,DeepFocus
7,1,0,0,0,9,0,0,0,Rest
6,0,3,0,0,4,33,40,2,Balanced
6,0,4,0,1,4,44,55,4,Intense
3,0,7,0,0,2,78,95,4,Intense
3,0,3,0,0,4,33,40,2,Balanced
3,0,6,0,0,3,67,75,4,Intense
3,0,4,1,0,4,44,55,3,Busy
2,0,2,0,0,5,22,30,1,Calm
2,0,4,1,0,4,44,45,3,Busy
5,0,3,1,0,4,33,45,5,DeepFocus
6,0,1,0,0,5,11,15,1,Calm
2,0,5,0,1,3,56,75,4,Intense
4,0,0,0,0,9,0,0,0,Rest
5,0,5,1,0,3,56,75,3,Busy
3,0,6,0,0,3,67,90,4,Intense
6,0,4,0,1,4,44,50,4,Intense
3,0,6,1,0,3,67,75,6,BurnoutRisk
4,0,1,0,0,5,11,10,1,Calm
2,0,2,0,0,5,22,20,1,Calm
3,0,5,0,0,3,56,70,3,Busy
3,0,6,0,0,3,67,90,4,Intense
4,0,7,0,1,2,78,85,4,Intense
6,0,1,0,0,5,11,10,1,Calm
5,0,7,1,0,2,78,85,4,Intense
5,0,6,0,1,3,67,80,4,Intense
6,0,4,0,0,4,44,50,3,Busy
6,0,1,0,0,5,11,10,1,Calm
6,0,2,0,0,5,22,25,1,Calm
2,0,4,0,0,4,44,50,3,Busy
4,0,6,1,0,3,67,90,6,BurnoutRisk
4,0,4,0,0,4,44,60,3,Busy
5,0,3,0,0,4,33,35,2,Balanced
5,0,5,1,0,3,56,65,3,Busy
4,0,7,0,0,2,78,100,4,Intense
2,0,2,0,0,5,22,25,1,Calm
3,0,7,1,0,2,78,90,4,Intense
7,1,0,0,0,9,0,0,0,Rest
2,0,2,0,0,5,22,20,1,Calm
6,0,3,0,0,4,33,35,2,Balanced
3,0,4,0,0,4,44,55,3,Busy
5,0,7,0,0,2,78,95,4,Intense
1,1,0,0,0,9,0,0,0,Rest
4,0,3,0,0,4,33,45,2,Balanced
1,1,2,0,0,5,22,30,1,Calm
2,0,5,0,0,3,56,65,3,Busy
2,0,2,1,0,5,22,25,5,DeepFocus
2,0,5,0,1,3,56,75,4,Intense
5,0,5,0,0,3,56,65,3,Busy
2,0,3,0,0,4,33,40,2,Balanced
2,0,0,0,0,9,0,0,0,Rest
6,0,3,0,0,4,33,35,2,Balanced
3,0,7,0,0,2,78,75,4,Intense
5,0,5,0,0,3,56,75,3,Busy
2,0,5,0,0,3,56,75,3,Busy
4,0,7,0,0,2,78,85,4,Intense
6,0,4,0,0,4,44,55,3,Busy
3,0,5,1,1,3,56,60,6,BurnoutRisk
4,0,6,1,0,3,67,90,6,BurnoutRisk
2,0,4,0,0,4,44,60,3,Busy
4,0,5,0,0,3,56,60,3,Busy
4,0,3,0,0,4,33,40,2,Balanced
3,0,5,1,0,3,56,70,3,Busy
2,0,5,0,1,3,56,70,4,Intense
6,0,4,0,0,4,44,50,3,Busy
1,1,0,0,0,9,0,0,0,Rest
6,0,3,0,0,4,33,45,2,Balanced
3,0,7,0,0,2,78,100,4,Intense
2,0,6,1,0,3,67,90,4,Intense
4,0,7,1,0,2,78,95,6,BurnoutRisk
5,0,7,0,1,2,78,100,4,Intense
4,0,5,0,1,3,56,65,4,Intense
3,0,3,0,0,4,33,40,2,Balanced
7,1,0,0,0,9,0,0,0,Rest
2,0,2,0,0,5,22,25,1,Calm
2,0,3,0,0,4,33,45,2,Balanced
2,0,3,0,0,4,33,40,2,Balanced
2,0,6,0,1,3,67,80,4,Intense
6,0,2,0,0,5,22,30,1,Calm
2,0,6,0,1,3,67,90,4,Intense
1,1,2,1,0,5,22,25,5,DeepFocus
3,0,5,0,1,3,56,75,4,Intense
3,0,4,0,1,4,44,50,4,Intense
4,0,5,0,0,3,56,75,3,Busy
2,0,6,0,0,3,67,80,4,Intense
3,0,6,0,1,3,67,90,4,Intense
5,0,4,0,0,4,44,50,3,Busy
4,0,7,0,1,2,78,100,4,Intense
5,0,6,1,0,3,67,90,4,Intense
5,0,3,1,0,4,33,40,5,DeepFocus
2,0,0,0,0,9,0,0,0,Rest
4,0,6,0,0,3,67,90,4,Intense
5,0,3,0,0,4,33,30,2,Balanced
3,0,4,0,0,4,44,60,3,Busy
5,0,4,0,1,4,44,45,4,Intense
2,0,4,0,0,4,44,50,3,Busy
5,0,5,1,0,3,56,65,3,Busy
2,0,6,0,0,3,67,90,4,Intense
4,0,3,0,0,4,33,35,2,Balanced
2,0,5,0,0,3,56,65,3,Busy
6,0,2,0,0,5,22,30,1,Calm
4,0,3,1,0,4,33,45,5,DeepFocus
4,0,6,0,1,3,67,90,4,Intense
5,0,7,0,0,2,78,90,4,Intense
3,0,3,1,0,4,33,30,5,DeepFocus
5,0,7,1,0,2,78,95,6,BurnoutRisk
2,0,3,0,0,4,33,40,2,Balanced
3,0,6,0,1,3,67,75,4,Intense
4,0,7,0,0,2,78,85,4,Intense
4,0,3,0,0,4,33,45,2,Balanced
5,0,3,1,0,4,33,45,5,DeepFocus
5,0,7,0,0,2,78,100,4,Intense
5,0,3,0,0,4,33,45,2,Balanced
6,0,1,0,0,5,11,10,1,Calm
5,0,6,0,0,3,67,85,4,Intense
4,0,7,1,0,2,78,85,6,BurnoutRisk
6,0,4,1,1,4,44,55,4,Intense
4,0,5,0,1,3,56,60,4,Intense
2,0,3,0,0,4,33,45,2,Balanced
3,0,0,0,0,9,0,0,0,Rest
3,0,0,0,0,9,0,0,0,Rest
2,0,3,0,0,4,33,45,2,Balanced
3,0,7,0,0,2,78,90,4,Intense
3,0,3,1,0,4,33,35,5,DeepFocus
2,0,4,0,0,4,44,50,3,Busy
4,0,4,0,1,4,44,50,4,Intense
4,0,3,0,0,4,33,45,2,Balanced
6,0,1,1,0,5,11,15,5,DeepFocus
4,0,4,1,0,4,44,50,3,Busy
6,0,1,0,0,5,11,15,1,Calm
2,0,3,0,0,4,33,45,2,Balanced
1,1,0,0,0,9,0,0,0,Rest
4,0,7,0,0,2,78,85,4,Intense
2,0,6,0,1,3,67,80,4,Intense
3,0,5,0,0,3,56,65,3,Busy
4,0,4,0,0,4,44,45,3,Busy
2,0,6,0,0,3,67,90,4,Intense
3,0,0,0,0,9,0,0,0,Rest
3,0,6,0,1,3,67,65,4,Intense
3,0,6,0,0,3,67,90,4,Intense
2,0,5,0,1,3,56,75,4,Intense
5,0,3,0,0,4,33,45,2,Balanced
3,0,7,0,0,2,78,95,4,Intense
5,0,3,0,0,4,33,40,2,Balanced
3,0,4,1,1,4,44,55,4,Intense
4,0,6,0,1,3,67,85,4,Intense
5,0,3,0,0,4,33,45,2,Balanced
5,0,5,0,1,3,56,75,4,Intense
4,0,7,1,0,2,78,100,6,BurnoutRisk
4,0,6,0,0,3,67,75,4,Intense
3,0,5,1,0,3,56,70,3,Busy
6,0,3,1,0,4,33,35,5,DeepFocus
2,0,6,0,0,3,67,75,4,Intense
3,0,6,1,0,3,67,70,4,Intense
4,0,6,0,1,3,67,85,4,Intense
6,0,1,0,0,5,11,10,1,Calm
3,0,7,0,1,2,78,75,4,Intense
4,0,6,0,1,3,67,90,4,Intense
7,1,0,0,0,9,0,0,0,Rest
6,0,1,0,0,5,11,15,1,Calm
3,0,7,0,1,2,78,85,4,Intense
2,0,5,0,0,3,56,60,3,Busy
2,0,6,0,1,3,67,90,4,Intense
3,0,7,0,1,2,78,100,4,Intense
4,0,7,0,1,2,78,95,4,Intense
5,0,7,0,0,2,78,95,4,Intense
4,0,4,1,0,4,44,60,3,Busy
6,0,4,0,1,4,44,40,4,Intense
2,0,4,0,0,4,44,45,3,Busy
2,0,6,0,1,3,67,80,4,Intense
6,0,3,1,0,4,33,30,5,DeepFocus
5,0,6,1,0,3,67,75,4,Intense
3,0,5,0,0,3,56,70,3,Busy
4,0,4,1,0,4,44,60,3,Busy
2,0,6,0,0,3,67,85,4,Intense
