dayOfWeek,isWeekend,isHoliday,totalMeetingCount,earlyMeetingCount,lateMeetingCount,hasImportantDeadline,hasUrgentDeadline,backToBackMeetings,externalEventCount,videoCallCount,freeTimeBlocks,potentialDeepWorkBlocks,meetingDensityScore,interruptionRiskScore,dayCategory,productivityScore,focusScore,stressLevel,recommendedStrategy
3,0,0,7,0,2,0,0,1,0,4,2,1,78,90,4,19,44,55,4
4,0,0,4,0,1,1,0,0,0,2,4,3,44,50,3,98,100,45,3
5,0,0,4,0,2,0,0,0,0,2,4,3,44,50,3,98,100,20,3
4,0,0,3,1,1,1,1,0,1,1,4,4,33,35,5,100,100,70,5
4,0,0,7,2,2,0,0,0,1,4,2,1,78,90,4,19,64,35,4
2,0,0,5,0,1,1,0,1,0,5,3,2,56,75,4,60,70,70,4
4,0,0,5,1,2,1,0,1,1,4,3,2,56,70,4,60,70,70,4
4,0,0,5,0,2,1,0,0,1,1,3,2,56,55,3,60,90,50,3
2,0,0,5,2,1,1,1,0,1,4,3,2,56,70,6,60,90,80,6
4,0,0,5,1,0,1,1,1,1,2,3,2,56,60,6,60,70,100,6
3,0,0,5,2,0,0,0,0,2,5,3,2,56,75,3,60,90,25,3
4,0,0,6,0,1,1,1,1,0,4,3,2,67,80,6,57,62,100,6
6,0,0,4,2,2,0,0,0,0,2,4,3,44,50,3,98,100,20,3
5,0,0,7,3,1,1,1,0,1,4,2,1,78,90,6,19,64,90,6
2,0,0,5,1,2,1,0,1,0,3,3,2,56,65,4,60,70,70,4
6,0,0,1,1,0,0,0,0,1,1,5,5,11,15,1,100,100,5,1
5,0,0,4,2,1,0,0,1,0,3,4,3,44,55,4,98,88,40,4
4,0,0,5,1,2,1,1,1,0,5,3,2,56,75,6,60,70,100,6
4,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,0,0,6,2,2,1,0,1,0,3,3,2,67,75,4,57,62,75,4
2,0,0,4,0,0,0,0,1,0,1,4,3,44,45,4,98,88,40,4
4,0,0,5,1,2,0,0,0,1,4,3,2,56,70,3,60,90,25,3
3,0,0,7,2,0,1,0,0,0,4,2,1,78,90,4,19,64,60,4
6,0,0,4,2,1,0,0,1,1,3,4,3,44,55,4,98,88,40,4
3,0,0,6,3,2,0,0,0,1,6,3,2,67,90,4,57,82,30,4
2,0,0,3,0,0,0,0,0,0,1,4,4,33,35,2,100,100,15,2
4,0,0,4,0,2,0,0,0,0,4,4,3,44,60,3,98,100,20,3
6,0,0,2,0,1,0,0,0,2,2,5,5,22,30,1,100,100,10,1
5,0,0,7,3,1,0,0,0,0,6,2,1,78,100,4,19,64,35,4
2,0,0,4,2,0,1,0,1,0,1,4,3,44,45,4,98,88,65,4
3,0,0,6,3,2,1,0,0,1,4,3,2,67,80,4,57,82,55,4
5,0,0,7,2,1,0,0,1,0,7,2,1,78,100,4,19,44,55,4
7,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
4,0,0,5,1,0,0,0,0,0,4,3,2,56,70,3,60,90,25,3
3,0,0,6,3,0,1,1,1,0,4,3,2,67,80,6,57,62,100,6
6,0,0,4,0,1,0,0,1,1,3,4,3,44,55,4,98,88,40,4
4,0,0,5,1,0,1,1,1,0,3,3,2,56,65,6,60,70,100,6
5,0,0,7,2,2,0,0,0,0,3,2,1,78,85,4,19,64,35,4
4,0,0,5,1,0,0,0,1,1,2,3,2,56,60,4,60,70,45,4
3,0,0,5,1,0,0,0,0,1,3,3,2,56,65,3,60,90,25,3
2,0,0,4,2,1,0,0,0,0,1,4,3,44,45,3,98,100,20,3
6,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,0,0,2,0,1,1,0,0,0,0,5,5,22,20,5,100,100,35,5
2,0,0,2,0,0,1,0,0,0,1,5,5,22,25,5,100,100,35,5
3,0,0,6,1,0,0,0,1,0,2,3,2,67,70,4,57,62,50,4
5,0,0,5,2,2,0,0,0,1,5,3,2,56,75,3,60,90,25,3
2,0,0,4,1,0,0,0,1,0,2,4,3,44,50,4,98,88,40,4
3,0,0,6,3,2,1,0,1,0,2,3,2,67,70,4,57,62,75,4
6,0,0,1,0,0,0,0,0,0,0,5,5,11,10,1,100,100,5,1
1,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
5,0,0,4,1,2,0,0,0,0,3,4,3,44,55,3,98,100,20,3
4,0,0,5,0,0,0,0,0,0,2,3,2,56,60,3,60,90,25,3
6,0,0,1,1,0,0,0,0,0,0,5,5,11,10,1,100,100,5,1
4,0,0,5,2,1,0,0,1,0,4,3,2,56,70,4,60,70,45,4
6,0,0,1,1,0,0,0,0,1,1,5,5,11,15,1,100,100,5,1
4,0,0,7,3,2,0,0,0,1,4,2,1,78,90,4,19,64,35,4
3,0,0,6,0,1,0,0,0,1,1,3,2,67,65,4,57,82,30,4
6,0,0,1,0,0,1,0,0,0,1,5,5,11,15,5,100,100,30,5
5,0,0,6,2,0,0,0,1,0,3,3,2,67,75,4,57,62,50,4
6,0,0,1,1,0,0,0,0,1,0,5,5,11,10,1,100,100,5,1
3,0,0,6,2,1,1,1,1,0,6,3,2,67,90,6,57,62,100,6
4,0,0,4,1,0,0,0,1,1,4,4,3,44,60,4,98,88,40,4
4,0,0,7,0,0,0,0,0,0,7,2,1,78,100,4,19,64,35,4
4,0,0,7,2,2,0,0,1,1,3,2,1,78,85,4,19,44,55,4
5,0,0,3,0,1,0,0,0,0,2,4,4,33,40,2,100,100,15,2
4,0,0,3,0,0,0,0,0,1,0,4,4,33,30,2,100,100,15,2
4,0,0,5,1,1,1,1,0,0,5,3,2,56,75,6,60,90,80,6
7,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
5,0,0,7,2,2,0,0,0,1,7,2,1,78,100,4,19,64,35,4
4,0,0,7,1,2,0,0,0,1,7,2,1,78,100,4,19,64,35,4
6,0,0,2,1,1,1,0,0,1,1,5,5,22,25,5,100,100,35,5
4,0,0,6,0,1,1,0,0,0,1,3,2,67,65,4,57,82,55,4
3,0,0,7,2,1,0,0,0,1,3,2,1,78,85,4,19,64,35,4
3,0,0,7,2,1,0,0,0,1,4,2,1,78,90,4,19,64,35,4
7,1,0,2,0,0,1,0,0,0,0,5,5,22,20,5,100,100,35,5
4,0,0,5,0,1,0,0,0,0,5,3,2,56,75,3,60,90,25,3
2,0,0,5,1,1,1,0,1,1,5,3,2,56,75,4,60,70,70,4
2,0,0,3,1,2,1,0,0,0,2,4,4,33,40,5,100,100,40,5
3,0,0,4,2,0,0,0,0,0,1,4,3,44,45,3,98,100,20,3
3,0,0,6,1,0,0,0,1,1,3,3,2,67,75,4,57,62,50,4
2,0,0,6,3,0,0,0,0,0,6,3,2,67,90,4,57,82,30,4
2,0,0,5,2,0,0,0,1,1,2,3,2,56,60,4,60,70,45,4
2,0,0,5,0,1,0,0,0,0,5,3,2,56,75,3,60,90,25,3
2,0,0,5,2,0,0,0,1,0,4,3,2,56,70,4,60,70,45,4
5,0,0,4,2,1,1,0,0,2,4,4,3,44,60,3,98,100,45,3
3,0,0,3,0,0,0,0,0,0,3,4,4,33,45,2,100,100,15,2
4,0,0,4,2,0,0,0,0,1,4,4,3,44,60,3,98,100,20,3
2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,0,0,4,2,2,0,0,0,1,3,4,3,44,55,3,98,100,20,3
1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,0,0,3,0,2,0,0,0,0,3,4,4,33,45,2,100,100,15,2
4,0,0,5,2,0,0,0,0,0,1,3,2,56,55,3,60,90,25,3
4,0,0,7,2,1,0,0,0,0,7,2,1,78,100,4,19,64,35,4
3,0,0,7,1,1,0,0,0,0,6,2,1,78,100,4,19,64,35,4
2,0,0,5,1,1,0,0,0,2,4,3,2,56,70,3,60,90,25,3
2,0,0,3,0,2,0,0,0,0,2,4,4,33,40,2,100,100,15,2
5,0,0,4,2,1,0,0,1,0,3,4,3,44,55,4,98,88,40,4
4,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,0,0,6,3,0,1,0,1,0,5,3,2,67,85,4,57,62,75,4
3,0,0,5,0,2,0,0,1,2,3,3,2,56,65,4,60,70,45,4
1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,0,0,3,0,1,1,0,0,0,3,4,4,33,45,5,100,100,40,5
6,0,0,1,0,1,0,0,0,2,0,5,5,11,10,1,100,100,5,1
2,0,0,3,0,0,0,0,0,1,2,4,4,33,40,2,100,100,15,2
4,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
5,0,0,4,1,1,0,0,1,0,3,4,3,44,55,4,98,88,40,4
5,0,0,3,1,1,0,0,0,0,2,4,4,33,40,2,100,100,15,2
4,0,0,7,3,1,0,0,1,1,7,2,1,78,100,4,19,44,55,4
6,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
5,0,0,7,2,0,0,0,0,0,6,2,1,78,100,4,19,64,35,4
5,0,0,7,2,1,0,0,1,0,7,2,1,78,100,4,19,44,55,4
2,0,0,3,1,1,0,0,0,0,1,4,4,33,35,2,100,100,15,2
2,0,0,2,0,2,0,0,0,0,0,5,5,22,20,1,100,100,10,1
2,0,0,3,0,1,0,0,0,0,1,4,4,33,35,2,100,100,15,2
3,0,0,3,0,2,1,0,0,0,2,4,4,33,40,5,100,100,40,5
3,0,0,5,2,2,1,0,0,1,4,3,2,56,70,3,60,90,50,3
2,0,0,4,2,2,1,0,1,0,3,4,3,44,55,4,98,88,65,4
4,0,0,3,1,0,0,0,0,1,0,4,4,33,30,2,100,100,15,2
3,0,0,4,2,0,0,0,0,0,1,4,3,44,45,3,98,100,20,3
3,0,0,3,1,1,0,0,0,0,1,4,4,33,35,2,100,100,15,2
4,0,0,4,1,2,1,0,0,1,1,4,3,44,45,3,98,100,45,3
7,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,0,0,6,3,1,0,0,1,1,3,3,2,67,75,4,57,62,50,4
5,0,0,4,1,0,0,0,0,1,3,4,3,44,55,3,98,100,20,3
3,0,0,4,2,0,0,0,1,2,2,4,3,44,50,4,98,88,40,4
4,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,0,0,0,1,4,4,33,35,2,100,100,15,2
3,0,0,7,3,2,0,0,0,0,6,2,1,78,100,4,19,64,35,4
5,0,0,3,0,2,0,0,0,1,1,4,4,33,35,2,100,100,15,2
4,0,0,5,2,1,0,0,0,1,5,3,2,56,75,3,60,90,25,3
6,0,0,3,0,0,0,0,0,0,0,4,4,33,30,2,100,100,15,2
4,0,0,4,2,1,0,0,0,1,2,4,3,44,50,3,98,100,20,3
5,0,0,7,0,2,0,0,1,0,5,2,1,78,95,4,19,44,55,4
2,0,0,4,2,2,1,0,0,1,3,4,3,44,55,3,98,100,45,3
3,0,0,4,2,1,0,0,0,1,3,4,3,44,55,3,98,100,20,3
2,0,0,5,0,0,0,0,0,0,3,3,2,56,65,3,60,90,25,3
3,0,0,7,1,1,0,0,0,1,3,2,1,78,85,4,19,64,35,4
5,0,0,5,2,2,0,0,1,0,4,3,2,56,70,4,60,70,45,4
3,0,0,5,2,1,0,0,0,0,0,3,2,56,50,3,60,90,25,3
4,0,0,5,2,0,0,0,0,2,5,3,2,56,75,3,60,90,25,3
4,0,0,4,2,2,0,0,0,0,2,4,3,44,50,3,98,100,20,3
3,0,0,5,2,2,0,0,0,1,5,3,2,56,75,3,60,90,25,3
2,0,0,2,0,1,0,0,0,1,1,5,5,22,25,1,100,100,10,1
2,0,0,3,1,0,0,0,0,0,2,4,4,33,40,2,100,100,15,2
6,0,0,1,1,0,0,0,0,1,1,5,5,11,15,1,100,100,5,1
3,0,0,4,0,1,0,0,0,2,3,4,3,44,55,3,98,100,20,3
3,0,0,6,2,1,1,1,0,0,5,3,2,67,85,6,57,82,85,6
5,0,0,3,1,0,0,0,0,0,2,4,4,33,40,2,100,100,15,2
5,0,0,6,0,2,0,0,0,0,5,3,2,67,85,4,57,82,30,4
2,0,0,4,1,2,0,0,1,0,2,4,3,44,50,4,98,88,40,4
4,0,0,3,0,1,0,0,0,2,2,4,4,33,40,2,100,100,15,2
4,0,0,3,1,2,1,0,0,2,2,4,4,33,40,5,100,100,40,5
2,0,0,5,0,1,1,0,1,1,3,3,2,56,65,4,60,70,70,4
3,0,0,5,0,1,0,0,1,0,2,3,2,56,60,4,60,70,45,4
3,0,0,7,0,2,1,1,0,2,5,2,1,78,95,6,19,64,90,6
2,0,0,6,3,1,0,0,1,0,2,3,2,67,70,4,57,62,50,4
5,0,0,4,2,0,0,0,1,1,3,4,3,44,55,4,98,88,40,4
5,0,0,3,1,0,0,0,0,1,3,4,4,33,45,2,100,100,15,2
2,0,0,5,0,0,0,0,0,2,3,3,2,56,65,3,60,90,25,3
5,0,0,3,0,1,0,0,0,0,3,4,4,33,45,2,100,100,15,2
3,0,0,7,1,0,0,0,0,0,7,2,1,78,100,4,19,64,35,4
3,0,0,7,0,2,0,0,0,0,5,2,1,78,95,4,19,64,35,4
4,0,0,5,0,1,1,1,0,1,5,3,2,56,75,6,60,90,80,6
3,0,0,6,2,1,1,0,0,0,6,3,2,67,90,4,57,82,55,4
5,0,0,5,2,0,1,1,1,0,5,3,2,56,75,6,60,70,100,6
2,0,0,5,2,0,0,0,0,0,1,3,2,56,55,3,60,90,25,3
6,0,0,1,1,0,0,0,0,2,1,5,5,11,15,1,100,100,5,1
2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,0,0,4,0,1,0,0,0,0,2,4,3,44,50,3,98,100,20,3
2,0,0,2,1,0,1,1,0,1,0,5,5,22,20,5,100,100,65,5
5,0,0,3,1,2,0,0,0,0,1,4,4,33,35,2,100,100,15,2
3,0,0,3,0,2,0,0,0,0,1,4,4,33,35,2,100,100,15,2
4,0,0,3,0,2,0,0,0,1,3,4,4,33,45,2,100,100,15,2
6,0,0,1,1,0,1,1,0,1,0,5,5,11,10,5,100,100,60,5
3,0,0,7,3,0,1,0,0,1,4,2,1,78,90,4,19,64,60,4
3,0,0,6,0,0,0,0,1,1,5,3,2,67,85,4,57,62,50,4
5,0,0,6,1,0,0,0,0,2,4,3,2,67,80,4,57,82,30,4
5,0,0,6,2,0,0,0,0,1,6,3,2,67,90,4,57,82,30,4
6,0,0,1,0,1,0,0,0,1,1,5,5,11,15,1,100,100,5,1
4,0,0,4,1,2,0,0,0,0,1,4,3,44,45,3,98,100,20,3
6,0,0,1,1,0,1,0,0,1,0,5,5,11,10,5,100,100,30,5
4,0,0,6,3,0,0,0,0,0,4,3,2,67,80,4,57,82,30,4
6,0,0,3,1,0,0,0,0,1,3,4,4,33,45,2,100,100,15,2
6,0,0,3,0,2,0,0,0,1,3,4,4,33,45,2,100,100,15,2
3,0,0,6,0,1,0,0,0,0,6,3,2,67,90,4,57,82,30,4
2,0,0,5,1,1,1,0,0,0,2,3,2,56,60,3,60,90,50,3
4,0,0,3,1,1,0,0,0,0,1,4,4,33,35,2,100,100,15,2
3,0,0,5,0,0,0,0,0,0,3,3,2,56,65,3,60,90,25,3
5,0,0,4,1,2,1,1,0,0,2,4,3,44,50,3,98,100,75,3
1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
5,0,0,7,2,0,0,0,0,0,6,2,1,78,100,4,19,64,35,4
4,0,0,4,2,1,1,1,0,0,1,4,3,44,45,3,98,100,75,3
3,0,0,4,0,0,0,0,1,0,3,4,3,44,55,4,98,88,40,4
5,0,0,7,0,0,1,0,0,1,5,2,1,78,95,4,19,64,60,4
2,0,0,4,2,2,0,0,0,0,3,4,3,44,55,3,98,100,20,3
2,0,0,4,1,2,0,0,0,0,2,4,3,44,50,3,98,100,20,3
4,0,0,3,1,1,1,0,0,1,3,4,4,33,45,5,100,100,40,5
5,0,0,7,2,1,0,0,0,0,3,2,1,78,85,4,19,64,35,4
6,0,0,4,0,2,0,0,0,0,4,4,3,44,60,3,98,100,20,3
6,0,0,2,1,1,0,0,0,1,0,5,5,22,20,1,100,100,10,1
4,0,0,4,1,0,1,0,1,0,2,4,3,44,50,4,98,88,65,4
5,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0
3,0,0,3,1,0,0,0,0,1,2,4,4,33,40,2,100,100,15,2
3,0,0,4,0,1,0,0,1,1,4,4,3,44,60,4,98,88,40,4
5,0,0,5,1,1,0,0,1,1,5,3,2,56,75,4,60,70,45,4
2,0,0,4,0,0,0,0,0,1,1,4,3,44,45,3,98,100,20,3
5,0,0,3,1,0,0,0,0,0,0,4,4,33,30,2,100,100,15,2
3,0,1,0,0,0,0,0,0,2,0,6,6,0,0,0,0,0,0,0
2,0,0,4,1,1,0,0,1,0,3,4,3,44,55,4,98,88,40,4
4,0,0,4,0,0,0,0,0,0,3,4,3,44,55,3,98,100,20,3
5,0,0,7,3,2,0,0,1,0,7,2,1,78,100,4,19,44,55,4
2,0,0,6,2,0,0,0,1,1,1,3,2,67,65,4,57,62,50,4
2,0,0,4,0,2,1,0,0,0,4,4,3,44,60,3,98,100,45,3
5,0,0,6,0,0,0,0,0,0,6,3,2,67,90,4,57,82,30,4
4,0,0,4,2,1,0,0,0,0,2,4,3,44,50,3,98,100,20,3
1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
5,0,0,4,0,2,1,0,0,1,3,4,3,44,55,3,98,100,45,3
5,0,0,5,0,1,0,0,1,0,5,3,2,56,75,4,60,70,45,4
4,0,0,3,0,0,0,0,0,0,0,4,4,33,30,2,100,100,15,2
6,0,0,2,0,2,0,0,0,0,2,5,5,22,30,1,100,100,10,1
5,0,0,3,0,1,1,0,0,1,3,4,4,33,45,5,100,100,40,5
5,0,0,3,1,2,0,0,0,1,3,4,4,33,45,2,100,100,15,2
5,0,0,6,3,0,0,0,1,0,2,3,2,67,70,4,57,62,50,4
6,0,0,3,1,2,1,0,0,1,3,4,4,33,45,5,100,100,40,5
4,0,0,4,2,0,1,1,0,0,2,4,3,44,50,3,98,100,75,3
2,0,0,5,0,0,0,0,1,0,4,3,2,56,70,4,60,70,45,4
3,0,0,6,3,1,0,0,0,0,2,3,2,67,70,4,57,82,30,4
2,0,0,6,2,1,0,0,0,0,5,3,2,67,85,4,57,82,30,4
5,0,0,6,3,2,1,1,0,0,6,3,2,67,90,6,57,82,85,6
5,0,0,7,1,2,0,0,1,0,6,2,1,78,100,4,19,44,55,4
6,0,0,2,1,1,0,0,0,0,1,5,5,22,25,1,100,100,10,1
7,1,0,1,0,1,0,0,0,0,0,5,5,11,10,1,100,100,5,1
2,0,0,2,0,1,0,0,0,2,0,5,5,22,20,1,100,100,10,1
5,0,0,3,0,0,0,0,0,0,1,4,4,33,35,2,100,100,15,2
4,0,0,6,0,0,0,0,0,0,5,3,2,67,85,4,57,82,30,4
6,0,0,1,0,1,0,0,0,0,1,5,5,11,15,1,100,100,5,1
4,0,0,4,1,1,1,0,1,0,1,4,3,44,45,4,98,88,65,4
1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
4,0,0,7,0,2,0,0,0,0,0,2,1,78,70,4,19,64,35,4
3,0,0,3,0,0,0,0,0,0,1,4,4,33,35,2,100,100,15,2
6,0,0,3,1,1,0,0,0,0,1,4,4,33,35,2,100,100,15,2
5,0,0,4,2,0,1,1,0,0,3,4,3,44,55,3,98,100,75,3
5,0,0,3,1,0,0,0,0,0,3,4,4,33,45,2,100,100,15,2
6,0,0,3,1,1,0,0,0,0,2,4,4,33,40,2,100,100,15,2
5,0,0,5,1,1,0,0,1,0,2,3,2,56,60,4,60,70,45,4
2,0,0,3,1,1,0,0,0,0,3,4,4,33,45,2,100,100,15,2
3,0,0,4,2,1,0,0,0,1,3,4,3,44,55,3,98,100,20,3
5,0,0,3,1,1,0,0,0,0,3,4,4,33,45,2,100,100,15,2
6,0,0,1,1,0,0,0,0,1,0,5,5,11,10,1,100,100,5,1
5,0,0,5,2,2,0,0,1,1,5,3,2,56,75,4,60,70,45,4
2,0,0,2,0,1,1,1,0,0,2,5,5,22,30,5,100,100,65,5
4,0,0,6,2,0,0,0,0,0,3,3,2,67,75,4,57,82,30,4
5,0,0,5,1,1,0,0,1,0,3,3,2,56,65,4,60,70,45,4
3,0,0,4,0,0,0,0,0,0,2,4,3,44,50,3,98,100,20,3
3,0,0,3,1,2,0,0,0,2,2,4,4,33,40,2,100,100,15,2
6,0,0,4,2,1,0,0,0,0,2,4,3,44,50,3,98,100,20,3
5,0,0,5,2,1,1,0,0,0,1,3,2,56,55,3,60,90,50,3
6,0,0,1,1,0,0,0,0,0,0,5,5,11,10,1,100,100,5,1
4,0,0,6,1,1,0,0,0,2,1,3,2,67,65,4,57,82,30,4
6,0,0,1,1,0,0,0,0,1,1,5,5,11,15,1,100,100,5,1
5,0,0,7,3,2,0,0,0,0,6,2,1,78,100,4,19,64,35,4
2,0,0,5,2,2,0,0,0,0,4,3,2,56,70,3,60,90,25,3
5,0,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
5,0,0,4,1,1,0,0,1,0,4,4,3,44,60,4,98,88,40,4
6,0,0,2,1,1,0,0,0,2,1,5,5,22,25,1,100,100,10,1
4,0,0,6,2,1,0,0,0,0,3,3,2,67,75,4,57,82,30,4
3,0,0,4,2,2,0,0,1,1,1,4,3,44,45,4,98,88,40,4
3,0,0,3,1,1,0,0,0,0,1,4,4,33,35,2,100,100,15,2
4,0,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
4,0,0,3,0,0,1,0,0,1,1,4,4,33,35,5,100,100,40,5
1,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
5,0,0,3,1,1,0,0,0,1,1,4,4,33,35,2,100,100,15,2
4,0,0,6,1,1,0,0,0,0,6,3,2,67,90,4,57,82,30,4
6,0,0,2,1,1,0,0,0,0,0,5,5,22,20,1,100,100,10,1
6,0,0,3,1,0,0,0,0,0,1,4,4,33,35,2,100,100,15,2
3,0,1,1,0,0,0,0,0,0,0,5,5,11,10,1,100,100,5,1
6,0,0,1,0,1,0,0,0,0,0,5,5,11,10,1,100,100,5,1
6,0,0,2,0,1,0,0,0,0,1,5,5,22,25,1,100,100,10,1
3,0,0,6,1,2,1,0,1,0,5,3,2,67,85,4,57,62,75,4
4,0,0,7,0,2,0,0,0,0,6,2,1,78,100,4,19,64,35,4
4,0,0,4,1,2,1,0,0,0,4,4,3,44,60,3,98,100,45,3
3,0,0,4,0,2,0,0,1,0,1,4,3,44,45,4,98,88,40,4
2,0,0,5,2,0,0,0,0,0,3,3,2,56,65,3,60,90,25,3
5,0,0,3,1,0,0,0,0,1,1,4,4,33,35,2,100,100,15,2
5,0,0,7,1,2,0,0,1,0,7,2,1,78,100,4,19,44,55,4
5,0,0,7,2,0,0,0,0,2,0,2,1,78,70,4,19,64,35,4
5,0,0,4,1,0,0,0,0,0,1,4,3,44,45,3,98,100,20,3
2,0,0,4,2,0,0,0,0,0,0,4,3,44,40,3,98,100,20,3
3,0,0,5,1,0,1,0,0,2,2,3,2,56,60,3,60,90,50,3
5,0,1,0,0,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0
4,0,0,6,0,1,0,0,0,0,5,3,2,67,85,4,57,82,30,4
2,0,0,3,1,1,0,0,0,0,1,4,4,33,35,2,100,100,15,2
5,0,0,6,2,0,0,0,1,1,5,3,2,67,85,4,57,62,50,4
4,0,0,6,1,0,0,0,1,0,4,3,2,67,80,4,57,62,50,4
4,0,0,3,1,2,0,0,0,1,3,4,4,33,45,2,100,100,15,2
2,0,0,3,0,2,0,0,0,0,2,4,4,33,40,2,100,100,15,2
4,0,0,5,2,2,0,0,1,2,1,3,2,56,55,4,60,70,45,4
3,0,0,7,0,1,0,0,0,0,7,2,1,78,100,4,19,64,35,4
3,0,0,7,0,1,1,0,0,0,6,2,1,78,100,4,19,64,60,4
4,0,0,4,2,1,1,0,0,0,2,4,3,44,50,3,98,100,45,3
3,0,0,5,2,1,0,0,1,0,2,3,2,56,60,4,60,70,45,4
